"datetime","shortId","shortGroup","description","type","kind","isRefund","isRefunded","shortRefundId","displayAmount","amount","paymentProcessorFee","netAmount","balance","currency","accountSlug","accountName","oppositeAccountSlug","oppositeAccountName","paymentMethodService","paymentMethodType","expenseType","expenseTags","payoutMethodType","merchantId","orderMemo","taxAmount"
"2024-08-19T20:53:03","f8d1ca73","552bebd5","Expense to AfricaCryptoChainx Innovators - Info: This expense title reflects a public-facing aspect of AfricaCryptoChainx, ensuring transparency and alignment with our commitment to security and professionalism.","CREDIT","EXPENSE","","","","$150.00 USD",150,0,150,,"USD","africacryptochainx-teachmastermindpat","AfricaCryptoChainx Innovators","africacryptochainx-com-2b77664e","AfricaCryptoChainx Innovators",,,"RECEIPT","blockchainforafricangrowth, alientechforafricanfinance","OTHER",,,0
"2024-08-13T07:10:49","7768c70a","5f6557b5","Expense to AfricaCryptoChainx Innovators - Info: This expense title reflects a public-facing aspect of AfricaCryptoChainx, ensuring transparency and alignment with our commitment to security and professionalism.","CREDIT","EXPENSE","","","","$50.00 USD",50,0,50,,"USD","africacryptochainx-teachmastermindpat","AfricaCryptoChainx Innovators","africacryptochainx-com-2b77664e","AfricaCryptoChainx Innovators",,,"RECEIPT","blockchainforafricangrowth, alientechforafricanfinance","OTHER",,,0
